EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents
ep-469248,CCCC(C)C(=O)C=O,1.2204599167597700,-0.334699974,-8.043956042,3.709
ep-469251,CCC(=O)C(C)CC=O,0.4790577950320680,0.296059814,-7.38788967,8.482
ep-469319,CCC(CC)C(=O)C=O,1.1320260221706700,-0.251705265,-7.983002551,7.7147
ep-469322,CCC(CC=O)C(C)=O,0.9668976808884890,0.339053795,-7.400951132,6.9966
ep-469532,CC(C)(C)CC(=O)C=O,1.3457663206676500,-0.453341591,-8.142461237,1.6272
ep-469549,CCC(C)C(=O)CC=O,0.5409422954842530,-0.029116177,-7.448298934,5.2041
ep-469710,CCCCCC(=O)C=O,1.2030447857769000,-0.352115257,-8.031710921,3.8593
ep-469711,CCCCC(=O)CC=O,1.0007826553914600,-0.02938829,-7.449659503,5.689
ep-469741,O=CCCC(=O)CC=O,0.5152764872118290,-0.071838043,-7.54326665,5.0097
ep-470426,COC(C(=O)F)C(F)F,1.1244990184926400,-0.63729052,-8.556890555,3.9104
ep-471331,CCC(C)(OC)C(C)=O,1.0178426294275700,0.662324989,-7.417005847,2.2623
ep-471337,CCC(OC)C(=O)C=O,0.712733667397486,-0.378238182,-8.083684657,5.5929
ep-471339,CCOC(CC)C(C)=O,0.35798766226457200,0.557561176,-7.358773493,2.3143
ep-471896,CCOC(=O)C(F)(F)F,1.257584147467880,-0.741510105,-8.217564646,3.1068
ep-473784,COC(=O)C(C)(C)OC,0.5769165800933360,0.259596565,-7.379454142,7.2437
ep-473785,CCOC(=O)C(C)OC,0.46937485346533700,0.226942909,-7.377005118,6.8561
ep-473790,CCC(OC)C(=O)OC,0.7285703417372420,0.226942909,-7.470884379,3.3194
ep-473816,COC(C)COC(C)=O,0.9618529676889020,0.207622829,-7.392515605,8.3771
ep-473851,COCC(C)OC(C)=O,0.9620208409646500,0.246262989,-7.353331217,4.4187
ep-473859,COC(=O)C(OC)OC,0.5556235678522900,0.113471455,-7.526667708,5.9759
ep-473930,CCCOCC(=O)OC,0.42463800723882100,0.186397953,-7.385168532,8.2162
ep-473940,COCOCC(=O)OC,0.3336287122713800,0.035374794,-7.468435355,5.6128
ep-473949,CCCOC(=O)COC,0.6107599616269600,0.140410721,-7.355508128,2.9013
ep-473968,CCC(=O)OCCOC,0.9523927850906630,0.258235996,-7.359861949,4.4417
ep-473973,CCOCCOC(C)=O,0.9619442485989800,0.206806488,-7.391699263,6.7842
ep-474933,CCCCC(=O)C(C)=O,1.1593356625550100,-0.031020973,-7.965315154,1.4378
ep-475016,CCC(C)C(=O)C(C)=O,1.2269157935210600,0.001632683,-7.946539301,1.4791
ep-475216,CCOC(OC)C(C)=O,0.8060399518471280,0.440280128,-7.581090468,8.216
ep-475224,COC(OC)C(=O)C=O,0.6981574511926830,-0.246535103,-8.32096789,4.0455
ep-475228,CCC(OC)OC(C)=O,1.0031669767227200,0.190207546,-7.391699263,2.795
ep-475268,COC(CC(C)=O)OC,0.7620303630854010,0.545043941,-7.356596583,6.5503
ep-475700,COC(=O)CC(C)C=O,1.105966549891360,0.193200798,-7.457550803,3.6138
ep-475729,COC(=O)C(=O)C(C)C,0.8823339438674210,0.044354549,-7.833067847,1.7235
ep-475820,CCCC(=O)C(=O)OC,0.8805536656848110,-0.177690311,-7.827353457,1.7894
ep-475822,CCC(=O)C(=O)COC,0.5826977993728710,0.024762356,-7.906266459,6.5111
ep-475867,CCC(=O)CC(=O)OC,0.3950677585285070,-0.019592194,-7.541089739,3.1449
ep-476135,COCC(=O)C(=O)C=O,0.9684234583819940,-0.651984665,-8.321512118,4.9451
ep-476136,CCOCC(=O)CC=O,0.4631052806573900,0.031565201,-7.582178923,5.7027
ep-476161,COC(C)CC(=O)C=O,1.1423370120280500,-0.404088993,-7.927219222,3.2445
ep-476970,CC(=O)C(=O)C(C)(C)C,1.2819536989981400,-0.011700893,-7.948716212,1.613
ep-476974,CCC(=O)C(C)(C)C=O,1.0826963315469800,0.132247307,-7.584900061,2.5822
ep-477058,CCC(=O)C(=O)C(C)C,1.1557140127352600,0.253610062,-7.85619752,3.4426
ep-477064,CCC(=O)C(C)C(C)=O,1.0007406798387700,0.384496799,-7.486666979,5.1369
ep-477068,CCC(=O)C(C=O)CC,1.048426457241550,0.06231406,-7.588437541,4.14
ep-477198,COC(C)(C)C(=O)C=O,0.6001027928467480,-0.401639969,-7.986267916,4.6727
ep-477199,CCC(C)(C)C(=O)C=O,1.1845159011319700,-0.132519421,-8.029261897,4.395
ep-477242,CCC(C(C)=O)C(C)=O,0.9990550921810230,0.363271923,-7.50816397,7.0223
ep-477252,CCCC(C=O)C(C)=O,1.0960432297383800,0.168438442,-7.618642172,2.9356
ep-477569,CCCC(=O)C(=O)CC,1.2709544314922500,0.096872513,-7.91279719,1.4909
ep-477648,O=C(CCF)CC(F)F,0.7967811477908030,0.175241287,-7.748440455,3.8815
ep-478336,COC(C=O)CC(C)=O,0.2076184771260930,0.398102489,-7.4673469,6.1677
ep-478381,COCC(C)C(=O)OC,1.0568131347632500,0.317556805,-7.42299235,6.9241
ep-481546,COC(C)(C=O)C(C)=O,0.6267196536792820,0.222316975,-7.73374631,4.122
ep-481548,CCOC(C)(C)C(C)=O,1.0307587575721200,0.697971897,-7.409930888,2.1118
ep-482177,COCCOC(=O)OC,0.6063884171321390,-0.167622101,-7.42299235,3.1255
ep-482359,CC(=O)C(CF)C(F)F,1.0763850702119500,0.135512672,-7.760685576,11.8993
ep-483118,CCOC(C)C(=O)C=O,0.6371461650225040,-0.408987041,-8.069262625,3.8126
